You can edit rarities here. If you do, make sure to leave this line. Entries are in the form "Skill Index|Rarity Index|Rarity Label & Skill Name"; the rarity label is for your convenience only.
829|1|Putrid Flesh is Uncommon
830|1|Feast for the Dead is Uncommon
831|2|Jagged Bones is Rare
832|1|Contagion is Uncommon
833|1|Ulcerous Lungs is Uncommon
834|1|Pain of Disenchantment is Uncommon
835|1|Mark of Fury is Uncommon
836|2|Corrupt Enchantment is Rare
837|1|Signet of Sorrow is Uncommon
838|1|Signet of Suffering is Uncommon
839|1|Signet of Lost Souls is Uncommon
840|0|Well of Darkness is Common
841|2|Blinding Surge is Rare
842|0|Chilling Winds is Common
843|0|Lightning Bolt is Common
844|1|Storm Djinn's Haste is Uncommon
845|1|Stone Striker is Uncommon
846|2|Sandstorm is Rare
847|2|Stone Sheath is Rare
848|0|Ebon Hawk is Common
849|1|Stoneflesh Aura is Uncommon
850|0|Glyph of Restoration is Common
851|2|Ether Prism is Rare
852|2|Master of Magic is Rare
853|0|Glowing Gaze is Common
854|2|Savannah Heat is Rare
855|1|Flame Djinn's Haste is Uncommon
856|0|Freezing Gust is Common
857|1|Judge's Intervention is Uncommon
858|1|Supportive Spirit is Uncommon
859|0|Watchful Healing is Common
860|2|Healer's Boon is Rare
861|2|Healer's Covenant is Rare
862|1|Balthazar's Pendulum is Uncommon
863|0|Words of Comfort is Common
864|2|Light of Deliverance is Rare
865|1|Scourge Enchantment is Uncommon
866|1|Shield of Absorption is Uncommon
867|0|Reversal of Damage is Common
868|0|Mending Touch is Common
869|1|Critical Chop is Uncommon
870|1|Agonizing Chop is Uncommon
871|0|Flail is Common
872|1|Charging Strike is Uncommon
873|1|Headbutt is Uncommon
874|0|Lion's Comfort is Common
875|2|Rage of the Ntouka is Rare
876|0|Mokele Smash is Common
877|0|Overbearing Smash is Common
878|1|Signet of Stamina is Uncommon
879|2|"You're All Alone!" is Rare
880|1|Burst of Aggression is Uncommon
881|1|Enraging Charge is Uncommon
882|1|Crippling Slash is Uncommon
883|1|Barbarous Slice is Uncommon
884|2|Prepared Shot is Rare
885|2|Burning Arrow is Rare
886|0|Arcing Shot is Common
887|2|Strike as One is Rare
888|0|Crossfire is Common
889|1|Barbed Arrows is Uncommon
890|1|Scavenger's Focus is Uncommon
891|1|Toxicity is Uncommon
892|1|Quicksand is Uncommon
893|0|Storm's Embrace is Common
894|1|Trapper's Speed is Uncommon
895|0|Tripwire is Common
896|0|Renewing Surge is Common
897|1|Offering of Spirit is Uncommon
898|1|Spirit's Gift is Uncommon
899|1|Death Pact Signet is Uncommon
900|1|Reclaim Essence is Uncommon
901|0|Banishing Strike is Common
902|0|Mystic Sweep is Common
903|0|Eremite's Attack is Common
904|1|Reap Impurities is Uncommon
905|1|Twin Moon Sweep is Uncommon
906|0|Victorious Sweep is Common
907|1|Irresistible Sweep is Uncommon
908|1|Pious Assault is Uncommon
909|0|Mystic Twister is Common
910|0|Grenth's Fingers is Common
911|0|Aura of Thorns is Common
912|0|Balthazar's Rage is Common
913|1|Dust Cloak is Uncommon
914|1|Staggering Force is Uncommon
915|2|Pious Renewal is Rare
916|1|Mirage Cloak is Uncommon
917|1|Arcane Zeal is Uncommon
918|0|Mystic Vigor is Common
919|1|Watchful Intervention is Uncommon
920|1|Vow of Piety is Uncommon
921|0|Vital Boon is Common
922|0|Heart of Holy Flame is Common
923|1|Extend Enchantments is Uncommon
924|1|Faithful Intervention is Uncommon
925|1|Sand Shards is Uncommon
926|0|Lyssa's Haste is Common
927|0|Guiding Hands is Common
928|0|Fleeting Stability is Common
929|1|Armor of Sanctity is Uncommon
930|1|Mystic Regeneration is Uncommon
931|2|Vow of Silence is Rare
932|2|Avatar of Balthazar is Rare
933|2|Avatar of Dwayna is Rare
934|2|Avatar of Grenth is Rare
935|2|Avatar of Lyssa is Rare
936|2|Avatar of Melandru is Rare
937|1|Meditation is Uncommon
938|1|Eremite's Zeal is Uncommon
939|0|Natural Healing is Common
940|1|Imbue Health is Uncommon
941|1|Mystic Healing is Uncommon
942|1|Dwayna's Touch is Uncommon
943|1|Pious Restoration is Uncommon
944|0|Signet of Pious Light is Common
945|1|Intimidating Aura is Uncommon
946|0|Mystic Sandstorm is Common
947|1|Winds of Disenchantment is Uncommon
948|1|Rending Touch is Uncommon
949|1|Crippling Sweep is Uncommon
950|2|Wounding Strike is Rare
951|1|Wearying Strike is Uncommon
952|0|Lyssa's Assault is Common
953|0|Chilling Victory is Common
954|0|Conviction is Common
955|0|Enchanted Haste is Common
956|1|Pious Concentration is Uncommon
957|1|Pious Haste is Uncommon
958|1|Whirling Charge is Uncommon
959|0|Test of Faith is Common
960|1|Blazing Spear is Uncommon
961|0|Mighty Throw is Common
962|1|Cruel Spear is Uncommon
963|0|Harrier's Toss is Common
964|1|Unblockable Throw is Uncommon
965|0|Spear of Lightning is Common
966|1|Wearying Spear is Uncommon
967|2|Anthem of Fury is Rare
968|1|Crippling Anthem is Uncommon
969|2|Defensive Anthem is Rare
970|0|Godspeed is Common
971|0|Anthem of Flame is Common
972|1|"Go for the Eyes!" is Uncommon
973|0|Anthem of Envy is Common
974|1|Song of Power is Uncommon
975|1|Zealous Anthem is Uncommon
976|1|Aria of Zeal is Uncommon
977|0|Lyric of Zeal is Common
978|0|Ballad of Restoration is Common
979|1|Chorus of Restoration is Uncommon
980|0|Aria of Restoration is Common
981|1|Song of Concentration is Uncommon
982|1|Anthem of Guidance is Uncommon
983|1|Energizing Chorus is Uncommon
984|1|Song of Purification is Uncommon
985|0|Hexbreaker Aria is Common
986|1|"Brace Yourself!" is Uncommon
987|1|Awe is Uncommon
988|1|Enduring Harmony is Uncommon
989|1|Blazing Finale is Uncommon
990|0|Burning Refrain is Common
991|0|Finale of Restoration is Common
992|0|Mending Refrain is Common
993|0|Purifying Finale is Common
994|1|Bladeturn Refrain is Uncommon
995|1|Glowing Signet is Uncommon
996|1|Leader's Zeal is Uncommon
997|0|Leader's Comfort is Common
998|0|Signet of Synergy is Common
999|1|Angelic Protection is Uncommon
1000|2|Angelic Bond is Rare
1001|2|Cautery Signet is Rare
1002|1|"Stand Your Ground!" is Uncommon
1003|0|"Lead the Way!" is Common
1004|0|"Make Haste!" is Common
1005|1|"We Shall Return!" is Uncommon
1006|1|"Never Give Up!" is Uncommon
1007|0|"Help Me!" is Common
1008|1|"Fall Back!" is Uncommon
1009|1|"Incoming!" is Uncommon
1010|1|"They're on Fire!" is Uncommon
1011|1|"Never Surrender!" is Uncommon
1012|1|"It's Just a Flesh Wound." is Uncommon
1013|0|Barbed Spear is Common
1014|0|Vicious Attack is Common
1015|2|Stunning Strike is Rare
1016|1|Merciless Spear is Uncommon
1017|0|Disrupting Throw is Common
1018|1|Wild Throw is Uncommon
1019|1|Malicious Strike is Uncommon
1020|2|Shattering Assault is Rare
1021|1|Golden Skull Strike is Uncommon
1022|1|Black Spider Strike is Uncommon
1023|1|Golden Fox Strike is Uncommon
1024|1|Deadly Haste is Uncommon
1025|1|Assassin's Remedy is Uncommon
1026|1|Fox's Promise is Uncommon
1027|1|Feigned Neutrality is Uncommon
1028|1|Hidden Caltrops is Uncommon
1029|2|Assault Enchantments is Rare
1030|1|Wastrel's Collapse is Uncommon
1031|0|Lift Enchantment is Common
1032|1|Augury of Death is Uncommon
1033|1|Signet of Toxic Shock is Uncommon
1034|1|Signet of Twilight is Uncommon
1035|1|Way of the Assassin is Uncommon
1036|1|Shadow Walk is Uncommon
1037|0|Death's Retreat is Common
1038|2|Shadow Prison is Rare
1039|1|Swap is Uncommon
1040|1|Shadow Meld is Uncommon
1041|1|Price of Pride is Uncommon
1042|1|Air of Disenchantment is Uncommon
1043|0|Signet of Clumsiness is Common
1044|1|Symbolic Posture is Uncommon
1045|1|Toxic Chill is Uncommon
1046|1|Well of Silence is Uncommon
1047|0|Glowstone is Common
1048|1|Mind Blast is Uncommon
1049|1|Elemental Flame is Uncommon
1050|2|Invoke Lightning is Rare
1051|1|Pensive Guardian is Uncommon
1052|1|Scribe's Insight is Uncommon
1053|1|Holy Haste is Uncommon
1054|1|Glimmer of Light is Uncommon
1055|2|Zealous Benediction is Rare
1056|1|Defender's Zeal is Uncommon
1057|0|Signet of Mystic Wrath is Common
1058|1|Signet of Removal is Uncommon
1059|1|Dismiss Condition is Uncommon
1060|2|Divert Hexes is Rare
1061|0|Counterattack is Common
1062|1|Magehunter Strike is Uncommon
1063|0|Soldier's Strike is Common
1064|2|Decapitate is Rare
1065|2|Magehunter's Smash is Rare
1066|2|Soldier's Stance is Rare
1067|1|Soldier's Defense is Uncommon
1068|0|Frenzied Defense is Common
1069|2|Steady Stance is Rare
1070|1|Steelfang Slash is Uncommon
1071|1|Screaming Shot is Uncommon
1072|1|Keen Arrow is Uncommon
1073|2|Rampage as One is Rare
1074|1|Forked Arrow is Uncommon
1075|1|Disrupting Accuracy is Uncommon
1076|2|Expert's Dexterity is Rare
1077|1|Roaring Winds is Uncommon
1078|1|Magebane Shot is Uncommon
1079|0|Natural Stride is Common
1080|0|Heket's Rampage is Common
1081|1|Smoke Trap is Uncommon
1082|1|Infuriating Heat is Uncommon
1083|1|Vocal Was Sogolon is Uncommon
1084|2|Destructive Was Glaive is Rare
1085|1|Wielder's Strike is Uncommon
1086|1|Gaze of Fury is Uncommon
1087|2|Spirit's Strength is Rare
1088|2|Wielder's Zeal is Rare
1089|1|Sight Beyond Sight is Uncommon
1090|1|Renewing Memories is Uncommon
1091|0|Wielder's Remedy is Common
1092|1|Ghostmirror Light is Uncommon
1093|2|Signet of Ghostly Might is Rare
1094|1|Signet of Binding is Uncommon
1095|0|Caretaker's Charge is Common
1096|1|Anguish is Uncommon
1097|1|Empowerment is Uncommon
1098|0|Recovery is Common
1099|1|Weapon of Fury is Uncommon
1100|1|Xinrae's Weapon is Uncommon
1101|1|Warmonger's Weapon is Uncommon
1102|1|Weapon of Remedy is Uncommon
1103|1|Rending Sweep is Uncommon
1104|2|Onslaught is Rare
1105|0|Mystic Corruption is Common
1106|1|Grenth's Grasp is Uncommon
1107|1|Veil of Thorns is Uncommon
1108|0|Harrier's Grasp is Common
1109|2|Vow of Strength is Rare
1110|1|Ebon Dust Aura is Uncommon
1111|2|Zealous Vow is Rare
1112|0|Heart of Fury is Common
1113|0|Zealous Renewal is Common
1114|1|Attacker's Insight is Uncommon
1115|0|Rending Aura is Common
1116|1|Featherfoot Grace is Uncommon
1117|1|Reaper's Sweep is Uncommon
1118|0|Harrier's Haste is Common
1119|2|Focused Anger is Rare
1120|1|Natural Temper is Uncommon
1121|1|Song of Restoration is Uncommon
1122|1|Lyric of Purification is Uncommon
1123|1|Soldier's Fury is Uncommon
1124|1|Aggressive Refrain is Uncommon
1125|1|Energizing Finale is Uncommon
1126|0|Signet of Aggression is Common
1127|0|Remedy Signet is Common
1128|0|Signet of Return is Common
1129|1|"Make Your Time!" is Uncommon
1130|1|"Can't Touch This!" is Uncommon
1131|1|"Find Their Weakness!" is Uncommon
1132|1|"The Power Is Yours!" is Uncommon
1133|1|Slayer's Spear is Uncommon
1134|0|Swift Javelin is Common
1135|1|Lightbringer's Gaze is Uncommon
1136|1|Lightbringer Signet is Uncommon
1137|0|Sunspear Rebirth Signet is Common
1138|1|Shadow Sanctuary (Luxon) is Uncommon
1139|1|Ether Nightmare (Luxon) is Uncommon
1140|1|Signet of Corruption (Luxon) is Uncommon
1141|1|Elemental Lord (Luxon) is Uncommon
1142|1|Selfless Spirit (Luxon) is Uncommon
1143|1|Triple Shot (Luxon) is Uncommon
1144|1|"Save Yourselves!" (Luxon) is Uncommon
1145|1|Aura of Holy Might (Luxon) is Uncommon
1146|1|Spear of Fury (Luxon) is Uncommon
1147|1|Vampiric Assault is Uncommon
1148|0|Lotus Strike is Common
1149|1|Golden Fang Strike is Uncommon
1150|1|Falling Lotus Strike is Uncommon
1151|1|Sadist's Signet is Uncommon
1152|0|Signet of Distraction is Common
1153|1|Signet of Recall is Uncommon
1154|0|Power Lock is Common
1155|0|Waste Not, Want Not is Common
1156|0|Sum of All Fears is Common
1157|1|Withering Aura is Uncommon
1158|1|Cacophony is Uncommon
1159|0|Winter's Embrace is Common
1160|1|Earthen Shackles is Uncommon
1161|1|Ward of Weakness is Uncommon
1162|1|Glyph of Swiftness is Uncommon
1163|1|Cure Hex is Uncommon
1164|0|Smite Condition is Common
1165|1|Smiter's Boon is Uncommon
1166|0|Castigation Signet is Common
1167|1|Purifying Veil is Uncommon
1168|1|Pulverizing Smash is Uncommon
1169|1|Keen Chop is Uncommon
1170|1|Knee Cutter is Uncommon
1171|0|Grapple is Common
1172|0|Radiant Scythe is Common
1173|1|Grenth's Aura is Uncommon
1174|1|Signet of Pious Restraint is Uncommon
1175|0|Farmer's Scythe is Common
1176|1|Energetic Was Lee Sa is Uncommon
1177|0|Anthem of Weariness is Common
1178|0|Anthem of Disruption is Common
1179|1|Summon Spirits (Luxon) is Uncommon
1180|0|Shadow Fang is Common
1181|0|Calculated Risk is Common
1182|0|Shrinking Armor is Common
1183|1|Aneurysm is Uncommon
1184|1|Wandering Eye is Uncommon
1185|0|Foul Feast is Common
1186|1|Putrid Bile is Uncommon
1187|0|Shell Shock is Common
1188|0|Glyph of Immolation is Common
1189|1|Patient Spirit is Uncommon
1190|1|Healing Ribbon is Uncommon
1191|1|Aura of Stability is Uncommon
1192|1|Spotless Mind is Uncommon
1193|1|Spotless Soul is Uncommon
1194|1|Disarm is Uncommon
1195|1|"I Meant to Do That!" is Uncommon
1196|0|Rapid Fire is Common
1197|1|Sloth Hunter's Shot is Uncommon
1198|1|Aura Slicer is Uncommon
1199|1|Zealous Sweep is Uncommon
1200|1|Pure Was Li Ming is Uncommon
1201|1|Weapon of Aggression is Uncommon
1202|1|Chest Thumper is Uncommon
1203|0|Hasty Refrain is Common
1204|1|Shadow Sanctuary (Kurzick) is Uncommon
1205|1|Ether Nightmare (Kurzick) is Uncommon
1206|1|Signet of Corruption (Kurzick) is Uncommon
1207|1|Elemental Lord (Kurzick) is Uncommon
1208|1|Selfless Spirit (Kurzick) is Uncommon
1209|1|Triple Shot (Kurzick) is Uncommon
1210|1|"Save Yourselves!" (Kurzick) is Uncommon
1211|1|Aura of Holy Might (Kurzick) is Uncommon
1212|1|Spear of Fury (Kurzick) is Uncommon
1213|1|Summon Spirits (Kurzick) is Uncommon
1214|1|Critical Agility is Uncommon
1215|1|Cry of Pain is Uncommon
1216|1|Necrosis is Uncommon
1217|1|Intensity is Uncommon
1218|1|Seed of Life is Uncommon
1219|1|Whirlwind Attack is Uncommon
1220|1|Never Rampage Alone is Uncommon
1221|1|Eternal Aura is Uncommon
1222|1|Vampirism is Uncommon
1223|1|"There's Nothing to Fear!" is Uncommon
1224|1|Sneak Attack is Uncommon
1225|1|Trampling Ox is Uncommon
1226|0|Smoke Powder Defense is Common
1227|1|Confusing Images is Uncommon
1228|0|Hexer's Vigor is Common
1229|1|Masochism is Uncommon
1230|0|Piercing Trap is Common
1231|1|Companionship is Uncommon
1232|1|Feral Aggression is Uncommon
1233|0|Disrupting Shot is Common
1234|1|Volley is Uncommon
1235|1|Expert Focus is Uncommon
1236|0|Pious Fury is Common
1237|0|Crippling Victory is Common
1238|0|Sundering Weapon is Common
1239|1|Weapon of Renewal is Uncommon
1240|0|Maiming Spear is Common
1241|0|Signet of Deadly Corruption is Common
1242|1|Way of the Master is Uncommon
1243|0|Defile Defenses is Common
1244|0|Angorodon's Gaze is Common
1245|0|Magnetic Surge is Common
1246|1|Slippery Ground is Uncommon
1247|0|Glowing Ice is Common
1248|0|Energy Blast is Common
1249|0|Distracting Strike is Common
1250|1|Symbolic Strike is Uncommon
1251|0|Soldier's Speed is Common
1252|2|Body Blow is Rare
1253|1|Body Shot is Uncommon
1254|0|Poison Tip Signet is Common
1255|1|Signet of Mystic Speed is Uncommon
1256|0|Shield of Force is Common
1257|1|Mending Grip is Uncommon
1258|1|Spiritleech Aura is Uncommon
1259|0|Rejuvenation is Common
1260|0|Agony is Common
1261|1|Ghostly Weapon is Uncommon
1262|1|Inspirational Speech is Uncommon
1263|1|Burning Shield is Uncommon
1264|0|Holy Spear is Common
1265|0|Spear Swipe is Common
1266|1|Alkar's Alchemical Acid is Uncommon
1267|0|Light of Deldrimor is Common
1268|0|Ear Bite is Common
1269|0|Low Blow is Common
1270|0|Brawling Headbutt is Common
1271|0|"Don't Trip!" is Common
1272|0|"By Ural's Hammer!" is Common
1273|1|Drunken Master is Uncommon
1274|2|Great Dwarf Weapon is Rare
1275|0|Great Dwarf Armor is Common
1276|1|Breath of the Great Dwarf is Uncommon
1277|0|Snow Storm is Common
1278|0|Black Powder Mine is Common
1279|1|Summon Mursaat is Uncommon
1280|1|Summon Ruby Djinn is Uncommon
1281|1|Summon Ice Imp is Uncommon
1282|1|Summon Naga Shaman is Uncommon
1283|1|Deft Strike is Uncommon
1284|0|Signet of Infection is Common
1285|2|Tryptophan Signet is Rare
1286|1|Ebon Battle Standard of Courage is Uncommon
1287|1|Ebon Battle Standard of Wisdom is Uncommon
1288|1|Ebon Battle Standard of Honor is Uncommon
1289|1|Ebon Vanguard Sniper Support is Uncommon
1290|2|Ebon Vanguard Assassin Support is Rare
1291|1|Well of Ruin is Uncommon
1292|1|Atrophy is Uncommon
1293|0|Spear of Redemption is Common
1294|1|"Finish Him!" is Uncommon
1295|0|"Dodge This!" is Common
1296|1|"I Am the Strongest!" is Uncommon
1297|1|"I Am Unstoppable!" is Uncommon
1298|0|A Touch of Guile is Common
1299|2|"You Move Like a Dwarf!" is Rare
1300|1|"You Are All Weaklings!" is Uncommon
1301|0|Feel No Pain is Common
1302|1|Club of a Thousand Bears is Uncommon
1303|2|Ursan Blessing is Rare
1304|2|Volfen Blessing is Rare
1305|2|Raven Blessing is Rare
1306|0|Mindbender is Common
1307|0|Smooth Criminal is Common
1308|1|Technobabble is Uncommon
1309|0|Radiation Field is Common
1310|1|Asuran Scan is Uncommon
1311|1|Air of Superiority is Uncommon
1312|0|Mental Block is Common
1313|2|Pain Inverter is Rare
1314|1|Ebon Escape is Uncommon
1315|0|Weakness Trap is Common
1316|1|Winds is Uncommon
1317|1|Dwarven Stability is Uncommon
1318|2|Time Ward is Rare
1319|2|Soul Taker is Rare
1320|2|Over the Limit is Rare
1321|2|Judgment Strike is Rare
1322|2|Seven Weapons Stance is Rare
1323|2|"Together as One!" is Rare
1324|2|Shadow Theft is Rare
1325|2|Weapons of Three Forges is Rare
1326|2|Vow of Revolution is Rare
1327|2|Heroic Refrain is Rare
